Genre,Film Link
action,/film/the-day-after-tomorrow/
action,/film/rise-of-the-guardians/
action,/film/batman-robin/
action,/film/ghostbusters-2016/
action,/film/transformers-rise-of-the-beasts/
action,/film/run-lola-run/
action,/film/the-karate-kid-2010/
action,/film/batman-forever/
action,/film/the-assassination-of-jesse-james-by-the-coward-robert-ford/
action,/film/transformers-revenge-of-the-fallen/
action,/film/blood-diamond/
action,/film/spy-kids/
action,/film/fast-furious-6/
action,/film/mortal-kombat-2021/
action,/film/aquaman-and-the-lost-kingdom/
action,/film/extraction-2020/
action,/film/hellboy/
action,/film/mulan-2020/
action,/film/thief/
action,/film/the-croods/
action,/film/first-blood/
action,/film/the-woman-king/
action,/film/planet-of-the-apes/
action,/film/fast-furious/
action,/film/the-french-connection/
action,/film/the-equalizer/
action,/film/meg-2-the-trench/
action,/film/shin-godzilla-orthochromatic/
action,/film/the-fugitive-1993/
action,/film/the-bourne-ultimatum/
action,/film/hancock/
action,/film/jungle-cruise/
action,/film/despicable-me-3/
action,/film/chappie/
action,/film/central-intelligence/
action,/film/ghost-in-the-shell-2017/
action,/film/love-exposure/
action,/film/tombstone/
action,/film/man-on-fire-2004/
action,/film/true-lies/
action,/film/kung-fu-hustle/
action,/film/dr-no/
action,/film/men-in-black-international/
action,/film/fantastic-four/
action,/film/the-tomorrow-war/
action,/film/batman-mask-of-the-phantasm/
action,/film/the-last-of-the-mohicans-1992/
action,/film/hulk/
action,/film/what-happened-to-monday/
action,/film/mad-max-beyond-thunderdome/
action,/film/goldeneye/
action,/film/rush-hour-2/
action,/film/the-abyss/
action,/film/ben-hur-1959/
action,/film/bad-boys-for-life/
action,/film/blade-ii/
action,/film/sherlock-jr/
action,/film/wrath-of-man/
action,/film/the-hitmans-bodyguard/
action,/film/9/
action,/film/willys-wonderland/
action,/film/demon-slayer-kimetsu-no-yaiba-the-movie-mugen-train/
action,/film/existenz/
action,/film/bad-boys-ii/
action,/film/hellboy-ii-the-golden-army/
action,/film/6-underground/
action,/film/the-rock/
action,/film/cool-hand-luke/
action,/film/allegiant/
action,/film/jack-reacher/
action,/film/moonfall/
action,/film/terminator-3-rise-of-the-machines/
action,/film/van-helsing/
action,/film/terminator-dark-fate/
action,/film/attack-the-block/
action,/film/get-smart/
action,/film/enter-the-dragon/
action,/film/san-andreas/
action,/film/triple-frontier/
action,/film/miami-vice/
action,/film/the-purge-election-year/
action,/film/national-treasure-book-of-secrets/
action,/film/road-house/
action,/film/police-story/
action,/film/pearl-harbor/
action,/film/transformers-the-last-knight/
action,/film/munich/
action,/film/the-magnificent-seven-2016/
action,/film/paul-blart-mall-cop/
action,/film/daredevil/
action,/film/the-equalizer-3/
action,/film/from-russia-with-love/
action,/film/the-general/
action,/film/planet-terror/
action,/film/the-italian-job-2003/
action,/film/the-raid-2/
action,/film/under-paris/
action,/film/guns-akimbo/
action,/film/revenge-2017/
action,/film/the-cloverfield-paradox/
action,/film/charlies-angels-2019/
action,/film/bad-boys-ride-or-die/
action,/film/the-mummy-2017/
action,/film/the-book-of-eli/
action,/film/avp-alien-vs-predator/
action,/film/you-dont-mess-with-the-zohan/
action,/film/the-equalizer-2/
action,/film/the-expendables/
action,/film/pain-gain/
action,/film/the-hunt-for-red-october/
action,/film/duel/
action,/film/king-arthur-legend-of-the-sword/
action,/film/hero-2002/
action,/film/the-predator/
action,/film/rampage-2018/
action,/film/star-wars-the-clone-wars/
action,/film/spy-kids-3-d-game-over/
action,/film/hard-boiled/
action,/film/evangelion-3010-thrice-upon-a-time/
action,/film/the-boondock-saints/
action,/film/the-guest-2014/
action,/film/alive-2020/
action,/film/the-lion-king-ii-simbas-pride/
action,/film/jason-bourne/
action,/film/equilibrium/
action,/film/teenage-mutant-ninja-turtles-2014/
action,/film/jumper/
action,/film/sicario-day-of-the-soldado/
action,/film/sound-of-freedom/
action,/film/crank/
action,/film/a-taxi-driver/
action,/film/spy-kids-2-the-island-of-lost-dreams/
action,/film/lara-croft-tomb-raider/
action,/film/assault-on-precinct-13/
action,/film/bright/
action,/film/the-mask-of-zorro/
action,/film/the-ministry-of-ungentlemanly-warfare/
action,/film/midnight-run/
action,/film/infernal-affairs/
action,/film/terminator-genisys/
action,/film/team-america-world-police/
action,/film/salt-2010/
action,/film/hanna/
action,/film/tron/
action,/film/jupiter-ascending/
action,/film/journey-to-the-center-of-the-earth-2008/
action,/film/predator-2/
action,/film/terminator-salvation/
action,/film/pacific-rim-uprising/
action,/film/enders-game/
action,/film/planet-of-the-apes-2001/
action,/film/lady-snowblood/
action,/film/despicable-me-4/
action,/film/elite-squad/
action,/film/free-fire/
action,/film/the-first-purge/
action,/film/the-heat/
action,/film/assassins-creed/
action,/film/to-live-and-die-in-la/
action,/film/prince-of-persia-the-sands-of-time/
action,/film/operation-fortune-ruse-de-guerre/
action,/film/superman-returns/
action,/film/red-2010/
action,/film/greenland/
action,/film/migration-2023/
action,/film/power-rangers/
action,/film/godzilla-1998/
action,/film/ghosted-2023/
action,/film/gemini-man-2019/
action,/film/predators/
action,/film/the-lone-ranger/
action,/film/knowing/
action,/film/last-action-hero/
action,/film/el-topo/
action,/film/ip-man/
action,/film/polite-society/
action,/film/rush-hour-3/
action,/film/die-another-day/
action,/film/clash-of-the-titans-2010/
action,/film/demolition-man/
action,/film/teenage-mutant-ninja-turtles/
action,/film/the-tourist/
action,/film/legends-of-the-fall/
action,/film/the-pacifier/
action,/film/deja-vu/
action,/film/underworld-2003/
action,/film/inferno-2016/
action,/film/tomorrow-never-dies/
action,/film/shaolin-soccer/
action,/film/air-force-one/
action,/film/batman-under-the-red-hood/
action,/film/knight-and-day/
action,/film/jackass-number-two/
action,/film/after-earth/
action,/film/live-free-or-die-hard/
action,/film/the-quick-and-the-dead-1995/
action,/film/charlies-angels-full-throttle/
action,/film/warcraft/
action,/film/cowboys-aliens/
action,/film/the-patriot-2000/
action,/film/joint-security-area/
action,/film/day-shift-2022/
action,/film/batman-the-killing-joke-2016/
action,/film/deepwater-horizon/
action,/film/commando/
action,/film/desperado/
action,/film/the-grey/
action,/film/brawl-in-cell-block-99/
action,/film/olympus-has-fallen/
action,/film/skyscraper-2018/
action,/film/the-running-man/
action,/film/hellboy-2019/
action,/film/taken-2/
action,/film/resident-evil-apocalypse/
action,/film/the-forever-purge/
action,/film/the-hidden-fortress/
action,/film/john-carter/
action,/film/the-bourne-legacy/
action,/film/deadpool-wolverine/
action,/film/cowboy-bebop-the-movie/
action,/film/evangelion-10-you-are-not-alone/
action,/film/plane-2023/
action,/film/the-expendables-2/
action,/film/conan-the-barbarian/
action,/film/riders-of-justice/
action,/film/gangster-squad/
action,/film/the-island-2005/
action,/film/dc-league-of-super-pets/
action,/film/grindhouse/
action,/film/those-who-wish-me-dead/
action,/film/lone-survivor/
action,/film/highlander/
action,/film/thunderball/
action,/film/darkman/
action,/film/independence-day-resurgence/
action,/film/black-dynamite/
action,/film/pusher/
action,/film/hundreds-of-beavers/
action,/film/non-stop-2014/
action,/film/white-house-down/
action,/film/star-trek-ii-the-wrath-of-khan/
action,/film/in-the-heart-of-the-sea/
action,/film/hardcore-henry/
action,/film/date-night/
action,/film/allied/
action,/film/robin-hood-2010/
action,/film/evangelion-20-you-can-not-advance/
action,/film/jackass-3d/
action,/film/ronin/
action,/film/zoolander-2/
action,/film/robocop-2014/
action,/film/the-legend-of-tarzan/
action,/film/the-world-is-not-enough/
action,/film/deep-blue-sea/
action,/film/catwoman/
action,/film/the-killer/
action,/film/on-her-majestys-secret-service/
action,/film/gunpowder-milkshake/
action,/film/bullitt/
action,/film/athena-2022-1/
action,/film/you-only-live-twice/
action,/film/blade-trinity/
action,/film/gone-in-sixty-seconds/
action,/film/mortal-kombat/
action,/film/the-taking-of-pelham-one-two-three/
action,/film/thx-1138/
action,/film/resident-evil-welcome-to-raccoon-city/
action,/film/waterworld/
action,/film/super-2010/
action,/film/hackers/
action,/film/rambo-first-blood-part-ii/
action,/film/the-transporter/
action,/film/willow/
action,/film/evangelion-30-you-can-not-redo/
action,/film/unstoppable-2010/
action,/film/ms-45/
action,/film/johnny-english/
action,/film/the-bodyguard-1992/
action,/film/live-and-let-die/
action,/film/the-karate-kid-part-ii/
action,/film/resident-evil-extinction/
action,/film/hitmans-wifes-bodyguard/
action,/film/the-spy-who-dumped-me/
action,/film/13-hours-the-secret-soldiers-of-benghazi/
action,/film/redline/
action,/film/the-lion-king-3-hakuna-matata/
action,/film/anna-2019/
action,/film/sanjuro/
action,/film/justice-league-the-flashpoint-paradox/
action,/film/dragged-across-concrete/
action,/film/the-5th-wave/
action,/film/the-mummy-tomb-of-the-dragon-emperor/
action,/film/the-spy-who-loved-me/
action,/film/small-soldiers/
action,/film/kagemusha/
action,/film/enemy-of-the-state/
action,/film/sin-city-a-dame-to-kill-for/
action,/film/spider-man-beyond-the-spider-verse/
action,/film/g-force/
action,/film/rocknrolla/
action,/film/project-power-2020/
action,/film/pitch-black/
action,/film/unhinged-2020/
action,/film/greyhound/
action,/film/the-green-hornet/
action,/film/the-monuments-men/
action,/film/300-rise-of-an-empire/
action,/film/blackhat/
action,/film/sonatine/
action,/film/snakes-on-a-plane/
action,/film/journey-2-the-mysterious-island/
action,/film/resident-evil-retribution/
action,/film/the-commuter/
action,/film/lethal-weapon-2/
action,/film/shooter/
action,/film/the-dark-tower/
action,/film/serenity/
action,/film/moonraker/
action,/film/sharknado/
action,/film/the-sorcerers-apprentice-2010/
action,/film/the-chaser/
action,/film/the-day-of-the-beast/
action,/film/riddick/
action,/film/doom/
action,/film/faster-pussycat-kill-kill/
action,/film/elektra/
action,/film/the-host-2013/
action,/film/ava-2020/
action,/film/pandorum/
action,/film/dragonball-evolution/
action,/film/the-good-the-bad-the-weird/
action,/film/the-gangster-the-cop-the-devil/
action,/film/spy-game/
action,/film/transporter-2/
action,/film/batman-beyond-return-of-the-joker/
action,/film/the-witch-part-1-the-subversion/
action,/film/ashes-of-time/
action,/film/superman-iii/
action,/film/samurai-rebellion/
action,/film/gamer/
action,/film/justice-league-dark-apokolips-war/
action,/film/the-losers/
action,/film/rolling-thunder/
action,/film/smokin-aces/
action,/film/eagle-eye/
action,/film/first-love-2019/
action,/film/astro-boy/
action,/film/haywire/
action,/film/shanghai-knights/
action,/film/police-story-2/
action,/film/the-way-of-the-dragon/
action,/film/species/
action,/film/kill-boksoon/
action,/film/the-family-2013/
action,/film/tekkonkinkreet/
action,/film/why-dont-you-play-in-hell/
action,/film/death-wish/
action,/film/batman-hush/
action,/film/tokyo-fist/
action,/film/death-race-2000/
action,/film/jawan/
action,/film/film:151796/
action,/film/robin-hood-2018/
action,/film/hercules-2014/
action,/film/star-trek-vi-the-undiscovered-country/
action,/film/kung-pow-enter-the-fist/
action,/film/wings/
action,/film/devotion-2022/
action,/film/dantes-peak/
action,/film/pompeii/
action,/film/maximum-overdrive/
action,/film/spy-kids-all-the-time-in-the-world/
action,/film/swordfish/
action,/film/destroyer-2018/
action,/film/project-almanac/
action,/film/the-net/
action,/film/the-getaway/
action,/film/rumble-in-the-bronx/
action,/film/lake-placid/
action,/film/atlas-2024/
action,/film/king-arthur/
action,/film/shoot-em-up/
action,/film/ghosts-of-mars/
action,/film/xxx-return-of-xander-cage/
action,/film/never-say-never-again/
action,/film/battle-for-the-planet-of-the-apes/
action,/film/next/
action,/film/the-villainess/
action,/film/the-do-over/
action,/film/poseidon/
action,/film/immortals/
action,/film/popeye/
action,/film/the-mexican/
action,/film/the-proposition-2005/
action,/film/a-touch-of-sin/
action,/film/around-the-world-in-80-days-2004/
action,/film/kangaroo-jack/
action,/film/justice-league-war/
action,/film/black-rain/
action,/film/the-family-plan/
action,/film/mothra-vs-godzilla/
action,/film/12-strong/
action,/film/push-2009/
action,/film/under-siege/
action,/film/the-three-musketeers-2011/
action,/film/son-of-batman/
action,/film/street-fighter/
action,/film/the-score/
action,/film/beverly-hills-cop-iii/
action,/film/battle-los-angeles/
action,/film/the-mother-2023/
action,/film/tag/
action,/film/turner-hooch/
action,/film/macgruber/
action,/film/defiance/
action,/film/the-witcher-nightmare-of-the-wolf/
action,/film/dogman-2023/
action,/film/police-story-3-super-cop/
action,/film/killers-2010/
action,/film/the-core/
action,/film/the-mechanic-2011/
action,/film/the-boxers-omen/
action,/film/female-prisoner-701-scorpion/
action,/film/along-came-a-spider/
action,/film/no-escape-2015/
action,/film/the-count-of-monte-cristo-2024/
action,/film/the-day-of-the-jackal/
action,/film/backdraft/
action,/film/magnum-force/
action,/film/vampire-academy/
action,/film/on-flux-2005/
action,/film/race-to-witch-mountain/
action,/film/the-transformers-the-movie/
action,/film/ninja-scroll/
action,/film/foreign-correspondent/
action,/film/eight-legged-freaks/
action,/film/gladiator-ii/
action,/film/wicked-city/
action,/film/justice-league-dark/
action,/film/the-rundown/
